280-40 nm Band,
Wavelength (nm),%T
840,0.00015
841,0.00016
842,0.00016
843,0.00016
844,0.00017
845,0.00017
846,0.00018
847,0.00018
848,0.00018
849,0.00019
850,0.00019
851,0.00019
852,0.0002
853,0.0002
854,0.0002
855,0.00021
856,0.00021
857,0.00021
858,0.00022
859,0.00022
860,0.00022
861,0.00023
862,0.00023
863,0.00023
864,0.00024
865,0.00024
866,0.00025
867,0.00025
868,0.00025
869,0.00026
870,0.00026
871,0.00027
872,0.00027
873,0.00027
874,0.00028
875,0.00028
876,0.00029
877,0.00029
878,0.00029
879,0.0003
880,0.0003
881,0.00031
882,0.00031
883,0.00032
884,0.00032
885,0.00033
886,0.00033
887,0.00034
888,0.00034
889,0.00035
890,0.00035
891,0.00036
892,0.00036
893,0.00037
894,0.00037
895,0.00038
896,0.00038
897,0.00039
898,0.00039
899,0.0004
900,0.00041
901,0.0004
902,0.0004
903,0.0004
904,0.0004
905,0.0004
906,0.0004
907,0.0004
908,0.0004
909,0.0004
910,0.0004
911,0.0004
912,0.0004
913,0.0004
914,0.0004
915,0.00039
916,0.00039
917,0.00039
918,0.00039
919,0.00039
920,0.00039
921,0.00039
922,0.00039
923,0.00039
924,0.00039
925,0.00039
926,0.00039
927,0.00038
928,0.00038
929,0.00038
930,0.00038
931,0.00038
932,0.00038
933,0.00038
934,0.00038
935,0.00038
936,0.00038
937,0.00038
938,0.00037
939,0.00037
940,0.00037
941,0.00037
942,0.00037
943,0.00037
944,0.00037
945,0.00037
946,0.00037
947,0.00037
948,0.00036
949,0.00036
950,0.00036
951,0.00036
952,0.00036
953,0.00035
954,0.00035
955,0.00035
956,0.00034
957,0.00034
958,0.00034
959,0.00033
960,0.00033
961,0.00033
962,0.00033
963,0.00032
964,0.00032
965,0.00032
966,0.00031
967,0.00031
968,0.00031
969,0.00031
970,0.0003
971,0.0003
972,0.0003
973,0.0003
974,0.00029
975,0.00029
976,0.00029
977,0.00029
978,0.00028
979,0.00028
980,0.00028
981,0.00028
982,0.00027
983,0.00027
984,0.00027
985,0.00027
986,0.00026
987,0.00026
988,0.00026
989,0.00026
990,0.00025
991,0.00025
992,0.00025
993,0.00025
994,0.00025
995,0.00024
996,0.00024
997,0.00024
998,0.00024
999,0.00023
1000,0.00023
1001,0.00023
1002,0.00023
1003,0.00023
1004,0.00022
1005,0.00022
1006,0.00022
1007,0.00022
1008,0.00022
1009,0.00021
1010,0.00021
1011,0.00021
1012,0.00021
1013,0.00021
1014,0.00021
1015,0.0002
1016,0.0002
1017,0.0002
1018,0.0002
1019,0.0002
1020,0.0002
1021,0.00019
1022,0.00019
1023,0.00019
1024,0.00019
1025,0.00019
1026,0.00019
1027,0.00018
1028,0.00018
1029,0.00018
1030,0.00018
1031,0.00018
1032,0.00018
1033,0.00017
1034,0.00017
1035,0.00017
1036,0.00017
1037,0.00017
1038,0.00017
1039,0.00017
1040,0.00016
1041,0.00016
1042,0.00016
1043,0.00016
1044,0.00016
1045,0.00016
1046,0.00016
1047,0.00015
1048,0.00015
1049,0.00015
1050,0.00015
1051,0.00015
1052,0.00015
1053,0.00015
1054,0.00015
1055,0.00014
1056,0.00014
1057,0.00014
1058,0.00014
1059,0.00014
1060,0.00014
1061,0.00014
1062,0.00014
1063,0.00013
1064,0.00013
1065,0.00013
1066,0.00013
1067,0.00013
1068,0.00013
1069,0.00013
1070,0.00013
1071,0.00013
1072,0.00012
1073,0.00012
1074,0.00012
1075,0.00012
1076,0.00012
1077,0.00012
1078,0.00012
1079,0.00012
1080,0.00012
1081,0.00012
1082,0.00012
1083,0.00012
1084,0.00011
1085,0.00011
1086,0.00011
1087,0.00011
1088,0.00011
1089,0.00011
1090,0.00011
1091,0.00011
1092,0.00011
1093,0.00011
1094,0.00011
1095,0.00011
1096,0.00011
1097,0.00011
1098,0.00011
1099,0.0001
1100,0.0001
