200-40 nm Band,
Wavelength (nm),%T
150,0.16855
151,0.19673
152,0.23279
153,0.2797
154,0.34137
155,0.42334
156,0.53225
157,0.68073
158,0.88574
159,1.17214
160,1.57592
161,2.11128
162,2.84763
163,3.84322
164,5.14312
165,6.7429
166,8.53732
167,10.32444
168,11.87248
169,13.03907
170,13.83372
171,14.35971
172,14.83352
173,15.31567
174,15.88265
175,16.58377
176,17.44832
177,18.49065
178,19.70151
179,21.07975
180,22.60042
181,24.20239
182,25.84816
183,27.47281
184,29.00545
185,30.38003
186,31.55621
187,32.5083
188,33.23366
189,33.74933
190,34.08563
191,34.26231
192,34.33428
193,34.33464
194,34.28793
195,34.21276
196,34.12226
197,34.02499
198,33.926
199,33.82356
200,33.71897
201,33.60617
202,33.49178
203,33.3726
204,33.24427
205,33.10104
206,32.93553
207,32.74934
208,32.5374
209,32.27083
210,31.93551
211,31.51684
212,31.00096
213,30.37622
214,29.63478
215,28.7741
216,27.78027
217,26.65658
218,25.44729
219,24.17398
220,22.86054
221,21.53093
222,20.2072
223,18.90793
224,17.64735
225,16.43492
226,15.24553
227,14.09378
228,12.99812
229,11.95362
230,10.95417
231,9.99364
232,9.06712
233,8.17185
234,7.30795
235,6.47858
236,5.68955
237,4.9808
238,4.32995
239,3.7339
240,3.19643
241,2.71903
242,2.3009
243,1.93923
244,1.62974
245,1.36722
246,1.14609
247,0.96081
248,0.80614
249,0.67527
250,0.56671
251,0.47669
252,0.40201
253,0.33999
254,0.2884
255,0.2454
256,0.20948
257,0.17938
258,0.15411
259,0.13282
260,0.11484
261,0.0996
262,0.08657
263,0.07547
264,0.06599
265,0.05787
266,0.0509
267,0.04489
268,0.03969
269,0.03519
270,0.03127
271,0.02786
272,0.02489
273,0.02228
274,0.01999
275,0.01797
276,0.0162
277,0.01464
278,0.01326
279,0.01203
280,0.01093
281,0.00995
282,0.00908
283,0.0083
284,0.00759
285,0.00696
286,0.00639
287,0.00588
288,0.00542
289,0.00499
290,0.00461
291,0.00427
292,0.00396
293,0.00369
294,0.00345
295,0.00322
296,0.00302
297,0.00283
298,0.00265
299,0.00249
300,0.00234
301,0.0022
302,0.00206
303,0.00194
304,0.00182
305,0.00172
306,0.00162
307,0.00152
308,0.00144
309,0.00136
310,0.00129
311,0.00122
312,0.00116
313,0.0011
314,0.00104
315,0.00099
316,0.00094
317,0.0009
318,0.00086
319,0.00081
320,0.00077
321,0.00074
322,0.0007
323,0.00067
324,0.00064
325,0.00061
326,0.00058
327,0.00056
328,0.00054
329,0.00052
330,0.0005
331,0.00048
332,0.00046
333,0.00044
334,0.00042
335,0.00041
336,0.00039
337,0.00038
338,0.00037
339,0.00036
340,0.00035
341,0.00033
342,0.00032
343,0.00031
344,0.0003
345,0.0003
346,0.00029
347,0.00028
348,0.00027
349,0.00026
350,0.00025
